  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
855.114,0,0,0,0,3,0.827638,0,2800,68.1112,2380,22.54773801,825.391,11.97130599,1200.78,5.444566978,5.93752,7.81252,5.62501,5.78126,82.5,187.359,195.773,520,23.25,23.25,5.41334,90.75,63.0938,35.6863,99.9999,20.25
855.164,0,0,0,0,3,0.827638,0,2800,67.8056,2380,22.54773801,825.391,11.97130599,1208.2,5.552185174,5.93752,7.81252,5.62501,5.78126,81.75,187.336,195.773,520,23.25,23.25,5.38401,90.75,63.4453,35.6863,99.9999,20.25
855.214,0,0,0,0,3,0.824464,0,2840,69.3889,2380,22.52960826,826.641,11.98943574,1212.34,5.594101156,5.78126,8.12502,5.93752,6.25002,82.5,187.266,195.773,520,23.25,23.25,5.44001,90.75,63.7031,35.6863,99.9999,20.25
855.264,0,0,0,0,3,0.824464,0,2840,68.0001,2380,22.52960826,826.641,11.98943574,1218.91,5.689391122,5.78126,8.12502,5.93752,6.25002,82.5,187.242,195.773,525,23.25,23.25,5.45334,90.75,64.1797,36.4706,99.9999,20.25
855.314,0,0,0,0,3,0.820558,0,2880,72.2501,2380,22.52960826,826.641,11.98943574,1225,5.777719264,5.62501,8.43752,6.25002,6.25002,83.25,187.148,195.773,525,23.25,23.25,5.49334,90.75,64.5156,37.6471,99.9999,20.25
855.364,0,0,0,0,3,0.820558,0,2880,72.5278,2360,22.23953226,826.641,11.98943574,1229.3,5.840085604,5.62501,8.43752,6.25002,6.25002,84.75,187.102,195.773,525,23.25,23.25,5.51467,90.75,64.9531,37.6471,99.9999,20.25
855.414,0,0,0,0,3,0.817384,0,2880,70.8889,2360,22.22253381,827.813,12.00643419,1238.13,5.951155705,5.62501,7.81252,6.09377,6.40627,84.75,187.031,195.773,525,23.25,23.25,5.52801,90.75,65.2422,37.6471,99.9999,19.5
855.464,0,0,0,0,3,0.817384,0,2920,72.1389,2360,22.22253381,827.813,12.00643419,1246.56,6.073422739,5.62501,7.81252,6.09377,6.40627,84,187.008,195.773,530,23.25,23.25,5.51734,90.75,65.6797,37.6471,99.9999,20.25
855.514,0,0,0,0,3,0.814943,0,2920,72.7501,2360,22.25766201,825.391,11.97130599,1249.38,6.149451658,5.78126,8.75002,6.40627,6.40627,84,186.938,195.773,530,23.25,23.25,5.51201,90.75,65.9609,37.6471,99.9999,20.25
855.564,0,0,0,0,3,0.814943,0,2920,72.5278,2360,22.25766201,825.391,11.97130599,1257.11,6.261566032,5.78126,8.75002,6.40627,6.40627,84,186.914,195.773,530,23.25,23.25,5.48001,90.75,66.3828,37.6471,99.9999,20.25
