TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    1.400, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.94166   , 18.6539   , 14.9841   , 10.6667   , 2080      , 820       , 827.969   , 268.594   , 250.156   , 829.063   , 845.859   , 1.5625    , 1.875     , 1.40625   , 2.03126   , 17.7422   , 90.1406   , 91.5703   , 16.2422   , 470       , 21        , 21        , 1.72      , 87.75     , 86.4766   , 1.56863   , 17.8057   , 33        , 10.0296   , 47.0078   , 10.0281   
    1.450, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.74634   , 18.4738   , 14.563    , 10.1945   , 2080      , 820       , 827.969   , 263.594   , 246.953   , 827.813   , 847.344   , 1.5625    , 1.79688   , 1.32813   , 2.03126   , 17.3203   , 90.0469   , 91.4766   , 15.9844   , 470       , 21        , 21        , 1.67734   , 87.75     , 86.4453   , 1.56863   , 17.4456   , 33        , 9.85413   , 47.0963   , 9.85413   
    1.500, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.74634   , 18.309    , 14.5294   , 9.8889    , 2080      , 820       , 827.969   , 257.969   , 246.094   , 827.813   , 844.766   , 1.5625    , 1.79688   , 1.32813   , 2.03126   , 16.875    , 89.9766   , 91.4063   , 15.9141   , 470       , 21        , 21        , 1.66667   , 87.75     , 86.4297   , 1.56863   , 17.4456   , 33.75     , 9.59779   , 47.052    , 9.59779   
    1.550, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.53882   , 18.1442   , 14.0808   , 10.1667   , 2080      , 820       , 827.969   , 257.188   , 243.594   , 827.813   , 848.438   , 1.48438   , 1.64063   , 1.36719   , 2.03126   , 16.8047   , 90.0703   , 91.5      , 15.7031   , 470       , 21        , 21        , 1.66134   , 87.75     , 86.4141   , 1.56863   , 17.0855   , 33        , 9.55659   , 47.0459   , 9.55506   
    1.600, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.52967   , 17.9718   , 14.0534   , 8.94445   , 2080      , 820       , 827.969   , 248.125   , 243.594   , 827.813   , 846.406   , 1.48438   , 1.64063   , 1.36719   , 2.03126   , 16.0547   , 90.0234   , 91.4531   , 15.7031   , 470       , 21        , 21        , 1.61334   , 87.75     , 86.3906   , 1.56863   , 17.0855   , 33.75     , 9.1095    , 47.0993   , 9.1095    
    1.650, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 8.13599   , 17.7887   , 13.1378   , 9.6389    , 2080      , 820       , 827.969   , 246.953   , 237.266   , 827.813   , 846.328   , 1.48438   , 1.5625    , 1.44532   , 1.95313   , 15.9609   , 89.8125   , 91.2422   , 15.1875   , 470       , 21        , 21        , 1.65067   , 87.75     , 86.3594   , 1.17647   , 16.3668   , 33.75     , 8.95539   , 47.0414   , 8.95386   
    1.700, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 7.90101   , 17.5491   , 12.6343   , 9.61112   , 2080      , 820       , 827.969   , 245.156   , 233.516   , 827.813   , 848.438   , 1.48438   , 1.5625    , 1.44532   , 1.95313   , 15.8203   , 89.9766   , 91.4063   , 14.8828   , 470       , 21        , 21        , 1.62667   , 87.75     , 86.3516   , 1.17647   , 16.0067   , 33        , 8.91877   , 46.9483   , 8.91724   
    1.750, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 7.8949    , 17.2974   , 12.6434   , 8.55556   , 2080      , 820       , 827.969   , 241.563   , 233.281   , 827.813   , 848.516   , 1.44532   , 1.64063   , 1.44532   , 1.95313   , 15.5156   , 89.7891   , 91.2188   , 14.8594   , 470       , 21        , 21        , 1.55734   , 87.75     , 86.3047   , 1.17647   , 16.0067   , 33        , 8.84095   , 47.0444   , 8.84095   
    1.800, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 7.70569   , 17.1021   , 12.1704   , 9.08334   , 2040      , 820       , 827.969   , 235.625   , 230.391   , 827.813   , 848.516   , 1.44532   , 1.64063   , 1.44532   , 1.95313   , 15.0469   , 89.8359   , 91.2656   , 14.625    , 470       , 21        , 21        , 1.568     , 87.75     , 86.2813   , 1.17647   , 15.6466   , 33        , 8.43964   , 46.9437   , 8.43812   
    1.850, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 7.69654   , 16.9312   , 12.1857   , 9.25001   , 2040      , 820       , 827.969   , 239.766   , 230.469   , 829.063   , 848.516   , 1.36719   , 1.79688   , 1.52344   , 1.95313   , 15.375    , 89.7422   , 91.1719   , 14.625    , 470       , 21        , 21        , 1.58934   , 87.75     , 86.2188   , 1.17647   , 15.6466   , 33        , 8.65021   , 46.9422   , 8.64869   
