TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    1.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.64771   , 86.8745   , 0         , 10.75     , 1080      , 820       , 836.172   , 465.078   , 350.078   , 836.484   , 857.188   , 0.566408  , 0.703127  , 0.488283  , 0.644533  , 34.1719   , 72.1406   , 73.2891   , 24.3281   , 220       , 16.5      , 16.5      , 2.352     , 23.25     , 0         , 0.419922  , 2.35294   , 0         , -6        , 16.6321   , 35.4477   , 8.01087   
    1.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.59888   , 86.7036   , 0         , 10.8611   , 1080      , 820       , 836.172   , 462.188   , 348.516   , 836.484   , 858.438   , 0.566408  , 0.683596  , 0.507814  , 0.664064  , 33.9141   , 72.1406   , 73.2891   , 24.1875   , 220       , 16.5      , 16.5      , 2.32534   , 23.25     , 0         , 0.417054  , 2.35294   , 0         , -6.75     , 16.5451   , 35.4615   , 7.55921   
    1.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.62024   , 86.5555   , 0         , 10.7222   , 1080      , 820       , 836.172   , 462.734   , 348.594   , 836.484   , 857.969   , 0.566408  , 0.683596  , 0.507814  , 0.664064  , 34.0078   , 72.1406   , 73.2891   , 24.2344   , 225       , 16.5      , 16.5      , 2.37067   , 23.25     , 0         , 0.41687   , 2.35294   , 0         , -6        , 16.5436   , 35.4584   , 7.99256   
    1.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.64466   , 86.4274   , 0         , 10.6389   , 1080      , 820       , 836.172   , 461.953   , 350.156   , 836.484   , 857.656   , 0.546876  , 0.664064  , 0.527345  , 0.683596  , 33.8906   , 72.1406   , 73.2891   , 24.3281   , 225       , 16.5      , 16.5      , 2.336     , 23.25     , 0         , 0.418701  , 2.35294   , 0         , -6        , 16.4963   , 35.4538   , 8.07801   
    1.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.74232   , 86.3145   , 0         , 10.75     , 1080      , 820       , 836.172   , 461.563   , 352.109   , 836.484   , 859.219   , 0.546876  , 0.664064  , 0.527345  , 0.683596  , 33.8438   , 72.1406   , 73.2891   , 24.4922   , 225       , 16.5      , 16.5      , 2.336     , 23.25     , 0         , 0.420777  , 2.35294   , 0         , -6.75     , 16.5024   , 35.4798   , 7.76673   
    1.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.69654   , 86.2183   , 0         , 10.5833   , 1080      , 820       , 836.172   , 459.609   , 350.859   , 836.484   , 858.203   , 0.527345  , 0.664064  , 0.546876  , 0.683596  , 33.7266   , 72.1406   , 73.2891   , 24.4219   , 225       , 16.5      , 16.5      , 2.312     , 23.25     , 0         , 0.419556  , 2.35294   , 0         , -6        , 16.4948   , 35.4477   , 8.12379   
    1.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.80335   , 87.3948   , 0         , 10.9445   , 1080      , 820       , 836.172   , 461.484   , 354.219   , 836.484   , 857.109   , 0.527345  , 0.664064  , 0.546876  , 0.683596  , 33.7969   , 72.1406   , 73.2891   , 24.6563   , 220       , 16.5      , 16.5      , 2.36267   , 23.25     , 0         , 0.426575  , 2.35294   , 0         , -6        , 16.4414   , 35.4157   , 8.05359   
    1.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.65992   , 87.1567   , 0         , 10.6945   , 1080      , 820       , 836.25    , 461.484   , 350.313   , 836.484   , 857.109   , 0.546876  , 0.644533  , 0.527345  , 0.683596  , 33.7969   , 72.1406   , 73.2891   , 24.3047   , 220       , 16.5      , 16.5      , 2.31734   , 23.25     , 0         , 0.419251  , 2.35294   , 0         , -6.75     , 16.4581   , 35.4874   , 7.66602   
    1.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.88575   , 92.9688   , 0         , 10.7222   , 1040      , 820       , 836.25    , 463.594   , 364.766   , 836.484   , 859.219   , 0.546876  , 0.644533  , 0.527345  , 0.683596  , 34.0781   , 72.1406   , 73.2891   , 25.6172   , 220       , 16.5      , 16.5      , 2.408     , 23.25     , 0         , 0.420166  , 2.35294   , 0         , -3        , 16.5604   , 35.3409   , 9.63135   
    1.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.80945   , 87.2956   , 0         , 10.6945   , 1080      , 820       , 836.25    , 463.281   , 356.094   , 836.484   , 858.203   , 0.527345  , 0.625002  , 0.546876  , 0.683596  , 33.8672   , 72.1406   , 73.2891   , 24.7031   , 220       , 16.5      , 16.5      , 2.31467   , 23.25     , 0         , 0.425782  , 2.35294   , 0         , -5.25     , 16.4917   , 35.437    , 8.18177   
    1.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.81861   , 87.0698   , 0         , 11.1667   , 1080      , 820       , 836.25    , 465.938   , 354.688   , 836.484   , 857.266   , 0.527345  , 0.625002  , 0.546876  , 0.683596  , 34.1953   , 72.1406   , 73.2891   , 24.7031   , 225       , 16.5      , 16.5      , 2.456     , 23.25     , 0         , 0.426087  , 2.35294   , 0         , -4.5      , 16.5802   , 35.4264   , 8.61207   
    1.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.86439   , 86.8745   , 0         , 11        , 1080      , 820       , 836.25    , 467.578   , 355.703   , 836.484   , 859.375   , 0.507814  , 0.60547   , 0.527345  , 0.703127  , 34.3359   , 72.1406   , 73.2891   , 24.7734   , 225       , 16.5      , 16.5      , 2.416     , 23.25     , 0         , 0.425721  , 2.35294   , 0         , -6        , 16.7236   , 35.4477   , 8.18482   
    2.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.8003    , 86.7036   , 0         , 11.2778   , 1080      , 820       , 836.25    , 467.813   , 353.75    , 836.484   , 857.188   , 0.507814  , 0.60547   , 0.527345  , 0.703127  , 34.3828   , 72.1406   , 73.2891   , 24.6328   , 225       , 16.5      , 16.5      , 2.46134   , 23.25     , 0         , 0.422364  , 2.35294   , 0         , -6.75     , 16.7709   , 35.4538   , 7.74842   
    2.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.77283   , 86.5555   , 0         , 10.7778   , 1080      , 820       , 836.25    , 467.891   , 353.203   , 836.484   , 858.984   , 0.488283  , 0.625002  , 0.527345  , 0.722658  , 34.3828   , 72.1406   , 73.2891   , 24.5859   , 225       , 16.5      , 16.5      , 2.36534   , 23.25     , 0         , 0.422364  , 2.35294   , 0         , -6        , 16.7679   , 35.4431   , 8.06275   
    2.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.85828   , 86.4274   , 0         , 10.75     , 1080      , 820       , 836.25    , 467.578   , 355.859   , 836.484   , 857.969   , 0.488283  , 0.625002  , 0.527345  , 0.722658  , 34.3359   , 72.1406   , 73.2891   , 24.7734   , 225       , 16.5      , 16.5      , 2.40534   , 23.25     , 0         , 0.42511   , 2.35294   , 0         , -6        , 16.7191   , 35.4264   , 8.01087   
